yas,gelir,abonelik_suresi_ay,destek_talebi_sayisi,sehir,uyelik_tipi,churn
56,14265.27,43,0,Istanbul,Standart,0
69,15903.11,48,1,Antalya,Standart,0
46,19824.05,11,1,Bursa,Premium,0
32,9675.84,51,2,Istanbul,Standart,0
60,15543.56,47,3,Istanbul,Standart,1
25,15528.82,57,4,Bursa,Premium,1
38,19603.33,23,0,Istanbul,Standart,0
56,13866.39,55,3,Antalya,Standart,0
36,18265.24,16,1,Ankara,Standart,1
40,20513.44,31,2,Istanbul,Gold,0
28,5750.99,11,2,Bursa,Premium,1
28,20843.16,54,1,Ankara,Standart,0
41,10073.09,16,3,Izmir,Standart,1
53,9530.3,8,3,Istanbul,Gold,1
57,3000.0,4,1,Istanbul,Premium,1
41,10984.11,40,2,Izmir,Standart,1
20,14975.72,4,0,Izmir,Gold,0
39,13083.38,56,1,Izmir,Standart,0
19,12687.37,25,1,Bursa,Premium,1
41,9437.51,3,2,Izmir,Premium,1
61,19336.15,32,2,Istanbul,Standart,0
47,19792.07,3,0,Ankara,Gold,1
55,17090.59,27,0,Antalya,Premium,0
19,5567.36,29,0,Bursa,Premium,1
38,26366.73,32,2,Izmir,Standart,0
50,15734.87,50,1,Istanbul,Standart,0
29,17698.05,58,0,Ankara,Standart,0
39,,51,2,Bursa,Premium,0
61,14942.78,19,1,Antalya,Standart,0
42,17066.77,21,2,Izmir,Premium,0
66,14295.51,5,2,,Premium,1
44,19360.81,18,3,Bursa,Standart,1
59,21501.73,28,3,Istanbul,Premium,0
45,8282.38,42,2,Ankara,Standart,1
33,19250.6,22,0,Istanbul,Gold,0
32,16971.7,21,0,Istanbul,Standart,1
64,,6,2,Antalya,Standart,1
68,7145.94,1,0,Ankara,Standart,1
61,22399.24,5,0,Izmir,Standart,1
69,16983.87,41,3,Istanbul,Premium,0
20,6083.74,12,2,Ankara,Premium,1
54,13784.33,26,1,Istanbul,Premium,0
68,16636.12,46,1,Istanbul,Standart,0
24,17532.88,34,2,Izmir,Standart,0
38,,49,2,Istanbul,Standart,0
26,16707.95,14,1,Izmir,Premium,0
56,25594.43,26,2,Istanbul,Gold,0
35,22732.68,45,2,Istanbul,Standart,0
